Formula,Peso Molecular,LogP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,IC50
C48H62N8O7S,894.446217324,5.720000000000007,2,12,168.29999999999998,10,5500.0
C51H67N7O9S,953.4720977239999,6.119900000000007,3,12,192.71,11,550.0
C52H65N7O8,915.4894620399999,6.113200000000006,3,11,175.64000000000001,9,550.0
C52H65N7O8,915.4894620399999,6.113200000000006,3,11,175.64000000000001,9,550.0
C52H70N8O7S,950.50881758,6.7887000000000075,2,13,168.29999999999998,13,550.0
C47H62N8O8S2,930.4132029440001,5.480700000000007,2,13,185.36999999999998,11,5500.0
C47H62N8O8S2,930.4132029440001,5.480700000000007,2,13,185.36999999999998,11,5500.0
C47H62N8O8S2,930.4132029440001,5.480700000000007,2,13,185.36999999999998,11,5500.0
C52H66N6O7,886.4992984520001,7.400400000000007,2,10,152.17,11,5500.0
C43H54N10O6S,838.394850448,3.8026000000000035,2,13,184.85000000000002,8,
C47H62N10O5S,878.462536084,5.913100000000005,2,12,167.78,10,
C48H66N10O5S,894.493836212,5.503600000000008,2,12,158.12999999999997,10,
C49H66N8O5S,878.4876882120001,7.347100000000008,2,10,141.99999999999997,10,
C48H61N9O7S,907.4414662920001,4.9523000000000055,2,13,181.19000000000003,9,5500.0
C56H74N8O7,970.568046708,6.421100000000008,2,11,158.65,10,
C53H71N9O7S,977.5197166119999,5.877600000000008,2,13,171.54,10,55.0
C56H74N8O8,986.5629613279999,6.126700000000008,3,12,178.88000000000002,10,
C49H60N8O8S,920.42548188,5.197500000000004,2,13,185.37,8,
C51H63N7O8,901.473811976,5.723100000000006,3,11,175.63999999999996,9,
C52H65N7O8,915.4894620399999,6.113200000000006,3,11,175.63999999999996,9,55.0
C53H67N7O8,929.5051121039999,6.5033000000000065,3,11,175.63999999999996,9,55.0
C50H63N7O9S,937.440797596,5.483800000000006,3,12,192.70999999999995,10,
C51H65N7O9S,951.45644766,5.873900000000006,3,12,192.70999999999995,10,
C52H67N7O9S,965.4720977239999,6.2640000000000065,3,12,192.70999999999995,10,
C51H66N8O8,918.5003610719999,5.5445000000000055,3,12,180.57000000000002,9,
C50H66N8O8,906.5003610719999,5.307600000000006,3,12,180.57000000000002,10,550.0
C48H62N8O7S,894.4462173239999,5.389200000000004,3,12,169.65,9,550.0
C48H62N8O7S,894.4462173239999,5.389200000000004,3,12,169.65,9,5500.0
C51H60N8O7,896.45849626,5.410080000000004,2,11,179.2,8,
C52H69N7O9S,967.487747788,6.510000000000007,3,12,192.71,11,55.0
C52H69N7O9S,967.487747788,6.510000000000007,3,12,192.71,11,550.0
C52H69N7O8S,951.4928331680001,6.804400000000006,2,11,172.48,11,5500.0
C52H69N7O8S,951.4928331680001,6.804400000000006,2,11,172.48,11,
C51H64N8O7S,932.461867388,6.091500000000007,2,12,168.29999999999998,9,5500.0
C54H67N7O7,925.510197484,6.635000000000006,2,10,155.41,9,550.0
C53H69N9O7,943.5319955479999,5.094200000000007,2,12,171.02,9,
C49H68N8O8,896.516011136,4.649300000000007,2,12,167.88000000000002,10,
C49H67BrN8O8,974.426523204,5.0227000000000075,2,12,167.88000000000002,10,5500.0
C48H64N10O7,892.4959443880001,4.392000000000007,2,13,186.12000000000003,10,550.0
C54H71N7O7,929.5414976120001,6.589200000000007,2,11,147.56999999999996,11,
C57H74N8O7,982.568046708,6.565200000000008,2,11,158.65,9,55.0
C48H66N8O8,882.500361072,4.088300000000007,2,12,167.88000000000002,10,
C52H65N7O8,915.4894620399999,5.825000000000006,3,11,175.64000000000001,10,55.0
C51H63N7O7,885.4788973560001,6.017500000000006,2,10,155.41,10,550.0
C52H65N7O7,899.49454742,6.407600000000007,2,10,155.41,10,550.0
C55H73N9O7S,1003.535366676,6.411800000000008,2,13,171.54,9,55.0
C53H69N9O7S,975.504066548,5.631600000000008,2,13,171.54,9,
C56H72N8O7,968.5523966439999,6.175100000000008,2,11,158.64999999999995,9,
C58H74F2N8O7,1032.5648531479999,7.200500000000008,2,11,158.65,10,5500.0
C58H76N8O7,996.5836967719999,6.955300000000008,2,11,158.65,10,
C51H64FN7O7,905.485125608,6.402600000000007,2,10,155.41,10,550.0
C56H75N9O7,985.5789457399999,6.015300000000009,2,12,161.89000000000001,11,5500.0
C56H75N9O7,985.5789457399999,6.015300000000009,2,12,161.89000000000001,11,5500.0
C50H67N9O6,889.521430864,4.956200000000007,2,11,154.35000000000002,10,
C48H62N8O7S,894.4462173240001,5.720000000000007,2,12,168.29999999999998,10,550.0
C48H62N8O8,878.469060944,5.251500000000005,2,12,181.44000000000003,10,550.0
C51H62F3N7O7,941.466281984,6.805900000000007,2,10,155.41,10,55.0
C51H66N8O8,918.5003610719999,5.5445000000000055,3,12,180.57000000000002,9,
C51H63N9O8,929.4799599759999,6.106400000000005,4,13,202.25000000000003,11,55.0
C51H63N9O8,929.4799599759999,6.106400000000005,4,13,202.25000000000003,11,55.0
C51H63F2N7O7,923.4757037960001,6.508700000000006,2,10,155.41,11,550.0
C52H62N8O8,926.4690609439999,6.767900000000006,4,12,197.31999999999996,11,
C56H72N8O9,1000.5422258839999,5.117100000000008,3,13,188.10999999999999,10,
C51H66N8O8,918.5003610719999,5.858200000000006,3,11,178.88000000000002,9,55.0
